p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[0.08038240205401306, 0.21739453291870917, 9.543776894365795, 9.59258846552469]","[0.09838392004093541, -0.5071910512922396, 0.17904100325680095, 0.5569034494818199]","[-1.6305767397098387, -1.0721682638541197, 13.467985506665345, 13.609045613517889]","[1.4518104176148952, 1.3619647822276553, 5.840616224349153, 6.241462471475584]"
"[-1.5702310580289236, -0.5524225855159579, 5.492408455375678, 5.815298898186834]","[1.2555162841059364, -0.07852853776218793, 3.2118436893497546, 3.451027581558584]","[-1.6922981792791663, -0.2210967610457435, 8.823035279102035, 8.987206020481539]","[2.0070129532021435, 0.8520478843238826, 11.50413220480963, 11.746467499773031]"
"[0.06633019749887328, -0.17039788059180888, 2.6257348831608596, 2.7943287486339528]","[-0.7173137238225303, 1.9431793718502275, 2.7477637039447353, 3.442652180405171]","[0.008424932759816373, -0.5412039974152152, 5.21881790869876, 5.247875448543832]","[0.6425585935638386, -1.2315774938432011, 18.439103132832763, 18.515143622417053]"
"[0.3817429219097214, 1.4437000177710013, 12.080568662211977, 12.20862363037465]","[-0.5280537625957458, -0.5744636339924466, 0.30198679720758814, 0.8433320115014178]","[-0.4306678392911843, 0.8449330615767525, 8.275721669680816, 8.330553368974588]","[0.5769786799772139, -1.7141694453553091, 8.373142499536716, 8.617490989149331]"
"[0.42663827040547053, -1.8723500041961296, 11.284585399292324, 11.485205123631589]","[-0.3649924430033133, -1.3243076446178017, 5.451015718265571, 5.622432409089948]","[0.8050316779396394, 1.5592777067048165, 6.5872836344082275, 6.817836332900594]","[-0.866677505341779, 1.637379942109124, 5.708534876670997, 6.07452613437788]"
"[2.06961801871593, -1.0948181033503512, 9.268266062949378, 9.60536597857783]","[-1.6439068909703023, -0.8749644151925786, 11.74163042183198, 11.888862063708501]","[0.522208210908361, 1.1276386076715759, 3.780688217075792, 3.981084934129306]","[-0.9479193386539981, 0.8421439108713562, 4.240834926779996, 4.524687023584397]"
"[1.3781275913656434, 0.49946695983406003, 6.520389949680282, 6.748669672159452]","[1.0216390589544078, -0.5626474311944577, 11.766809686459917, 11.82494364929245]","[-1.6573617150014441, 0.7518025799685915, 9.093872680972272, 9.274790505682475]","[-0.7424049353185719, -0.6886221086082045, 1.650347311524646, 2.1515961728656263]"
"[0.5930272051655866, 0.8146632466673249, 5.954228718340277, 6.111346124040852]","[-3.1334672969900415, -1.0127412836251675, 12.799447614837408, 13.21670477338417]","[0.6836744060513814, 0.036101187185862055, 1.5421499624908799, 1.6905928276733455]","[1.856765685773078, 0.16197684977198257, 8.735593332968522, 8.981356274901609]"
"[0.7516261593673186, 1.0783476323512695, 7.720849481826999, 7.887943113806989]","[-1.206111559628407, -0.9570677916209662, 3.6180943458718264, 3.9335040562609294]","[0.6487670223947418, -1.1768719967917198, 15.53030254535813, 15.588694207966896]","[-0.19428162213365213, 1.0555921560614228, 2.1621732555801216, 2.58985862196515]"
"[-1.111275847055743, 0.12608198150257877, 6.427167242489577, 6.590877315139779]","[0.30493329066736996, 1.8194426067479172, 5.290881463986102, 5.604279256953797]","[1.5366763607876481, -0.39995450074217154, 12.656894511086065, 12.75654655924526]","[-0.7303338043992724, -1.545570087508323, 4.65647641107534, 5.048296868661142]"
"[0.5201204296200999, -0.6399182853715654, 16.876316517493418, 16.922483098465964]","[-0.014311574497293145, 1.3243844165984937, 6.073288087765259, 6.216927755254111]","[0.5142278166562602, -0.6874850058322179, 0.3008767999595777, 0.9158364168262283]","[-1.0200366717790688, 0.0030188746052869364, 5.780938223418849, 5.944752729453689]"
"[-0.4548638278412688, -1.7026179799385772, 3.8305192303375266, 4.31961121021998]","[0.49200167775304005, 0.4914208502148152, 0.8552430259327592, 1.1073230555299922]","[0.45656406583956854, 0.7562309007935872, 21.262644821638556, 21.28124912559523]","[-0.49370191575133876, 0.45496622893017574, 3.0830125507282458, 3.2918166086547664]"
"[-0.8998322298715336, 0.5848023527511228, 5.060374054459069, 5.257321727907218]","[1.333959746805335, -0.21049393698923202, 2.378785717978948, 2.737433361495912]","[-0.7701508402010186, -2.0806469668166083, 9.798983961118257, 10.047560619394257]","[0.3360233232672165, 1.7063385510547184, 11.793275895080832, 11.957684291202613]"
"[-1.7972356258180935, -0.5340013022880562, 7.9927365428428745, 8.263135305368957]","[0.44659192355520283, 1.4206430966251564, 1.7168095082194308, 2.2751416779291116]","[1.1120576796057722, -0.4395608994244752, 7.973697774004226, 8.063554171157838]","[0.23858602265711654, -0.4470808949126265, 11.348175803570577, 11.398168845544092]"
"[2.293365927513637, 0.005029036597074378, 11.797969015025586, 12.055371408387938]","[-0.016155292185786596, 1.610538141037346, 5.563664064130051, 5.793066159527075]","[-1.6469137306594717, -0.9892463537414781, 8.74259777341248, 8.95182174896632]","[-0.6302969046683803, -0.6263208238929423, 2.9271887760690216, 3.1997406831187014]"
"[-1.6620603346779044, 0.38135136574036066, 7.854101078642811, 8.091670502423083]","[0.2748009162890266, 1.8969471674669895, 5.421523152498329, 5.75134775559553]","[0.2993732777995932, -1.2352466080362405, 2.7593615335012562, 3.0398516785619507]","[1.0878861405892786, -1.0430519251711166, 12.996433863994707, 13.117130063419431]"
"[-1.8479833480135117, 0.4495605787242928, 12.5848551133017, 12.762291320027844]","[0.6595241871151255, 0.8236830788999496, 0.7486683143517027, 1.29811163839409]","[0.9641954847370213, -1.3551098054836157, 7.395184462099891, 7.580627438355796]","[0.22426367616135684, 0.08186614785937565, 8.302711738883803, 8.358969603222256]"
"[0.47342664942086465, -1.0895425448662357, 5.211610131829087, 5.4270130146907745]","[0.3078650245214687, 0.6835923921892468, 19.785133117520356, 19.79961452965555]","[-1.18653781759319, 0.40212932896932335, 3.250390441813485, 3.4850798594856602]","[0.405246143650826, 0.0038208237077038687, 0.7842859374742943, 1.288292596168123]"
"[-0.605780809040006, -1.5547684632007408, 7.567888197702735, 7.806251435975984]","[1.2715926821961614, 0.46603330542664984, 10.460591695117706, 10.548425342965235]","[0.15204771812030193, 1.7285937223694905, 2.6066911585118664, 3.1332342993189544]","[-0.8178595912764584, -0.639858564595401, 8.39624857730478, 8.512088921739805]"
"[-1.7325210498001145, 0.9547404819692027, 8.753971264458858, 9.02360935661926]","[1.3509653215188937, -0.0660724576073527, 2.420043254331944, 2.7743910747049467]","[0.47540401110957964, -1.6853106155491067, 14.81805330560446, 14.921533038711566]","[-0.09384828282835112, 0.7966425911872494, 3.039351804241859, 3.280466529964237]"
"[0.24702495859383958, -0.18293210300663876, 2.823190273933907, 2.9908599354195315]","[0.8929999255532306, -0.4461000125225678, 14.41879226012114, 14.453691152840648]","[-1.9530737671241538, -0.3324257650207926, 9.90861416439239, 10.105285859432165]","[0.8130488829771112, 0.9614578805500195, 1.8808229301894697, 2.45016305230745]"
"[0.53807029718803, 0.010487676151207105, 6.22670237386134, 6.319953040545594]","[1.4440489577663485, -2.0910815118922, 6.885713866861101, 7.340444015933281]","[-1.164112174809445, -0.09918455030240739, 5.151480311199696, 5.283361405412315]","[-0.8180070801449327, 2.179778386043396, 10.767523076714978, 11.056241538108814]"
"[1.9358229888445695, -0.4620715348065551, 9.494645678189137, 9.746259366944697]","[-1.5465223963660064, 1.120757890866979, 15.646427888931179, 15.76292165396027]","[-0.967792698925704, -0.48363286389217136, 1.4972175050277605, 1.850228992707657]","[0.5784921064471465, -0.17505349216825394, 2.3931285564890024, 2.6405899863873405]"
"[-0.1676301370623392, 0.7777038275988601, 9.477426441349417, 9.55692886880961]","[-0.9530954242621608, -0.6782461122778767, 3.7465688776827566, 3.926366086441068]","[1.9232020229424607, -0.09274916921569998, 2.5254957290883513, 3.177514865432997]","[-0.8024764616179583, -0.006708546105285401, 13.281928580516585, 13.339190179316322]"
"[0.6866252277345807, -1.909432438679471, 14.889129690220631, 15.056026159629125]","[-0.8863202860293564, 1.6319858715482518, 2.1489516521110072, 2.84219956203552]","[0.19538455738176055, 0.35845273254283755, 7.446307664359344, 7.458238728546535]","[0.004310500913014763, -0.08100616541161804, 4.547030621946111, 4.643535549788808]"
"[0.24988079866278298, -0.7895388095415484, 6.565394242950444, 6.683604406056919]","[2.4666463872829847, 0.20198819443729488, 6.470424478476125, 6.9283980958959965]","[-0.837992113045948, -0.603910792833018, 3.1269795695194103, 3.294860219855041]","[-1.878535072899822, 1.191461407937272, 12.86862133769112, 13.093137278192032]"
"[0.5582566653301104, 0.9997585720121134, 17.995590421726106, 18.056378282457466]","[0.6041403229460736, -0.5627796420877865, 6.1204129751293905, 6.176756839511658]","[-0.9588713689388703, 0.5988555811710938, 0.7307016564664351, 1.3502410277418115]","[-0.20352561933732166, -1.0358345110954197, 4.184714575315178, 4.416623850289065]"
"[-1.1835670401477036, -0.01548070605426941, 11.71458651967319, 11.811560534648958]","[0.8467936700660985, -1.800869838300701, 7.579145653050281, 7.836759798365659]","[0.9115877258502502, 0.8011289051794572, 1.297507280680462, 1.779743931305196]","[-0.5748143557686408, 1.0152216391755104, 8.440180175233182, 8.571935735680196]"
"[-0.2191924542540714, 0.012378301115468443, 0.8578331626296665, 1.2901281468255954]","[-0.19845015303954716, 1.9788441195491853, 8.48727983569113, 8.717814470095647]","[-0.07987824980879177, -1.0701889784696144, 2.207467857549075, 2.456778976527326]","[0.4975208571024086, -0.9210334421950339, 17.478838772767247, 17.535278406551438]"
"[-1.5976678716907615, 0.32633866134118056, 3.4135134082386918, 3.897623337923787]","[0.9647338323844128, 1.4381789598301942, 8.876729696742725, 9.044698104958703]","[1.268917041536354, -1.64596145389394, 9.319802183303338, 9.549304472833386]","[-0.6359830022300128, -0.11855616727743384, 7.421374340352272, 7.508374084284036]"
"[2.2887115564579266, 0.18860416666005855, 11.349051826845404, 11.617017854628296]","[0.10187692381610498, 0.02260519539352557, -0.20436640759232652, 0.2526245118376371]","[-0.9370677254636754, 0.10683842678192348, 10.241113111082992, 10.284992549268225]","[-1.453520754810339, -0.3180477888355101, 7.645621098301027, 7.845365084265829]"
"[-0.3630182469969028, 0.6963547870249819, 2.100075933028083, 2.430507253133199]","[0.07770228005320107, 1.0913580984385458, 4.6991314305229395, 4.825981761014585]","[-1.125427337079983, -1.815980418637349, 5.137486209565209, 5.565006715032599]","[1.4107433040236885, 0.0282675331738238, 17.094726055520866, 17.178504270819605]"
"[0.0742047344345382, -0.9437394947344424, 1.1155939226419793, 1.7381181555791407]","[-0.7795948297253104, 0.6543047038321423, 2.4015305571795276, 2.610439689788352]","[0.48365455359820764, 0.3143194735935488, 21.98287406861411, 21.990694267989973]","[0.22173554169254264, -0.024884682691177065, 3.5314210802015604, 3.6607478866426018]"
"[0.4420190659993352, 0.39169934143546387, 4.61012732292652, 4.741564879695895]","[-1.4943790820629685, 0.5236005560759202, 1.8023073012161637, 2.4014165828134577]","[-0.8893363116726255, -0.4906881410166365, 9.55695842642374, 9.611363685989078]","[1.9416963277362616, -0.4246117564947477, 13.062026578070672, 13.245654851501554]"
"[0.22860651895450004, 0.5031399470590282, 1.8622544864201283, 2.157256791624713]","[1.1172695456215576, 0.5234668513784304, 9.515535226818905, 9.595774228683215]","[0.24899693357564318, -0.6349754359561716, 0.23970000773080732, 0.7306250638104013]","[-1.5948729981516945, -0.3916313624812876, 17.413929907667267, 17.516343915881674]"
"[-0.77043270582448, -0.23936346338245915, 4.006107191289698, 4.192864247253124]","[-0.43636388809517795, 0.20933833613292413, 6.82056621159627, 6.838532228595632]","[3.1124688808092333, -0.4588009958123861, 10.559789939072044, 11.018996690173541]","[-1.9056722868895821, 0.4888261230619217, 7.644956286679063, 7.949606833977668]"
"[1.6609306675720565, -1.4488683679936727, 15.202650542573435, 15.39021923482074]","[0.1659172301364812, 1.8898449648223012, 7.785313991979732, 8.013820567307441]","[-1.6229431814904431, -0.43038563874379876, 3.8392706181338276, 4.1916988036609855]","[-0.20390471621809192, -0.010590958084833041, 2.20418447595011, 2.4042613942108275]"
"[-1.0887506835519003, -0.1425442957650721, 2.2637545706473725, 2.6852627486524954]","[-0.20356788332973338, -0.8007467046321797, 2.38001201316073, 2.5215582412183206]","[0.6515763047441948, 1.7402650169997902, 21.591300616338245, 21.671375127765877]","[0.6407422621374572, -0.7969740166024999, 2.7963524284910046, 3.1218038823635412]"
"[-0.4591490866800589, -0.6441376141394001, 19.14965347105903, 19.188937270140197]","[1.387408833305514, 0.9893654221966613, 6.3261542084283855, 6.552490968414434]","[-0.6864922435589287, -0.12425107693478932, 0.16407088283783397, 0.7244258403350976]","[-0.2417675030665243, -0.22097673112246927, 3.3915410663118566, 3.5341459211102704]"
"[-1.6602941492656167, 0.1914750910809429, 2.9891281513342536, 3.5508422696133684]","[1.2782162593484108, 1.2981957011532537, 8.18520468644091, 8.386172443734607]","[-0.6409564831037678, -1.0901915293837907, 8.952013233504976, 9.041517977075815]","[1.0230343730209677, -0.39947926285040786, 8.905073557356987, 9.021467309576227]"
"[1.3585179993838756, 1.7875709878686905, 10.31998859478955, 10.602994866257843]","[-0.26917520499767145, -0.21798474574012278, 10.868296676829386, 10.874327975047729]","[-1.6021283457682878, -0.7000730564250115, 2.8715908618067507, 3.3636461186073845]","[0.5127855513820871, -0.8695131857035541, 4.971543495211422, 5.159031040087041]"
"[0.12375033951556251, -0.3347175915519852, 0.520524938643014, 1.1307743233545278]","[-0.8144859462077387, 1.130827511089509, 6.331114087864463, 6.483542814150816]","[1.4795199009513123, -0.5440611523979393, 16.169434389441133, 16.246438186946243]","[-0.7887842942591723, -0.2520487671396166, 6.01034621268856, 6.139244675548472]"
"[-1.1731304440087869, 1.0424416804793728, 3.256962008126492, 3.735113862283754]","[-0.6922183779283434, 0.6443775179479783, 2.9147954344241356, 3.066200369493542]","[2.320314275786932, -0.9280860093269658, 11.675481968990727, 11.940403879279826]","[-0.45496545384981074, -0.7587331891003838, 11.184180217095733, 11.258281888942859]"
"[-0.6957169459225855, -0.988615640636411, 4.560518389692288, 4.81041217386414]","[1.12531234172467, -1.0718482698286833, 3.522209813292874, 3.8512740959055645]","[-1.0953201763944174, -0.263442383907194, 10.970147089164712, 11.028346156578891]","[0.6657247805923325, 2.323906294372297, 9.978544336487184, 10.30996757365135]"
"[0.3591354053336161, 0.31945632448464456, 3.1265430592882493, 3.2994933596212768]","[0.8121149955680989, 1.1921683704807127, 14.783468165037876, 14.854053008834105]","[0.176394948428929, -1.6670713639982433, 9.019749861928739, 9.17481843391038]","[-1.3476453493306377, 0.15544666903288318, 2.1016585423822676, 2.671635197634263]"
"[0.3693181109004936, -0.9188405669503847, 3.7042826194183966, 3.9474964122874168]","[-2.2914089427256963, 1.8675487510516124, 7.710213871440067, 8.258138702920203]","[0.3567945301704289, -0.4939378413219578, 4.979320363963187, 5.017576290181527]","[1.5652963016547825, -0.45477034277927597, 12.637602773815427, 12.776788594610819]"
"[1.4663169238191962, 0.04245565549945304, 14.488305423859977, 14.592574694165418]","[-0.28929168318602083, 1.7624701258063724, 4.736072269967617, 5.062759601407196]","[-0.9748135296823882, -1.1542871270848327, 2.3348894070573425, 2.7830760581698413]","[-0.20221171095078613, -0.6506386542209929, 7.4721525277521685, 7.561589646257542]"
"[1.7652365379679638, -0.19996477458039574, 6.019086880984118, 6.34553442767977]","[-0.1782843249843319, 0.9935376973597441, 1.9922667548197626, 2.2358874953660104]","[-2.2544263659225723, -1.5066529636394614, 12.463642235497533, 12.755625534627942]","[0.6674741529389409, 0.7130800408601132, 8.556423757335688, 8.66295254232627]"
"[-0.0303921312038415, 0.2404688413401699, 3.7419242051291177, 3.865371915897586]","[-1.7739373567388594, -2.019729066151742, 11.41922122427217, 11.731834307904446]","[-0.39607931212200304, 0.896167694156471, 1.6716090563720616, 1.9404730886693224]","[2.200408800064714, 0.8830925306551058, 12.198665142863742, 12.462320687528624]"
"[-0.7546155803263647, 1.749694481323801, 4.735972607038329, 5.190439897797457]","[-0.5785642297941369, 0.36832910938072655, 6.5115012088665996, 6.548374951608198]","[1.4427296313098419, -2.262525278177588, 8.17380386419076, 8.603645892682694]","[-0.10954982118934325, 0.14450168747306763, 9.610141948541404, 9.657539257911631]"
